NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Dennis Schroder,Gol,,G,31.5,24,26.2,21,16,39,0.744,136,0.419,115,0.322,0.448,0.474,10.6,2.3,4.4,1,0.1,2,12.9,15,17.3,7.3,98.4,106.7
Amir Coffey,Lac,*,G-F,27.7,57,26,15.3,8.8,113,0.912,221,0.529,213,0.408,0.57,0.618,10.5,2.4,1.1,0.5,0.1,0.7,12.9,11.6,14.1,4.7,121.9,110.1
Gary Trent Jr.,Mil,*,G,26.1,54,25.1,16.5,7.1,54,0.833,162,0.475,293,0.42,0.575,0.593,10.5,2.4,1.1,1,0.1,0.6,13,11.7,14.1,4.8,113.7,109.4
Tyus Jones,Pho,*,G,28.8,59,29,16,13.5,49,0.878,223,0.493,295,0.403,0.557,0.575,10.5,2.5,5.9,0.9,0.1,1.4,13,16.4,18.9,7.4,121.2,120.8
Tim Hardaway Jr.,Det,*,G-F,33,57,28.1,15,7.6,102,0.833,155,0.484,329,0.368,0.53,0.565,10.5,2.2,1.6,0.5,0.1,0.7,12.7,12.1,14.4,4.7,115.5,115.5
Grant Williams,Cha,*,F,26.3,16,29.9,14.8,18.5,37,0.838,49,0.551,74,0.365,0.549,0.596,10.4,5.1,2.3,1.1,0.8,1.8,15.5,12.7,17.8,6.6,112.1,108.1
Derrick Jones Jr.,Lac,*,F,28,57,24.9,16.6,10.3,79,0.747,299,0.602,160,0.356,0.578,0.597,10.4,3.5,0.8,1.2,0.4,0.9,13.9,11.2,14.7,4.9,115.8,106.3
Dorian Finney-Smith,Bro,,F,31.8,20,29,14.1,10.2,24,0.625,51,0.51,108,0.435,0.607,0.613,10.4,4.6,1.6,0.9,0.6,0.9,15,12,16.5,5.9,120.4,109.9
Bogdan Bogdanovic,Lac,*,G,32.5,7,24,21.5,12.3,7,0.571,25,0.6,46,0.283,0.486,0.493,10.4,1.4,3.1,1,0.1,1.4,11.9,13.6,15,5.9,100,105
Herbert Jones,Nor,*,F,26.4,20,32.4,14.6,16.9,40,0.825,100,0.53,72,0.306,0.5,0.541,10.3,3.9,3.3,1.9,0.5,1.8,14.2,13.5,17.4,6.3,107.3,112.3
Andrew Nembhard,Ind,*,G-F,25.1,42,28.6,17,18.7,98,0.786,247,0.538,100,0.3,0.513,0.555,10.3,3.2,4.9,1.3,0.1,1.9,13.5,15.2,18.4,7.6,110.4,111.3
Obi Toppin,Ind,*,F,27,55,19.3,19.7,9.8,78,0.795,207,0.72,197,0.34,0.618,0.64,10.2,4,1.6,0.7,0.3,0.8,14.2,11.8,15.8,8.3,122.1,110.7
Quentin Grimes,Dal,,G,24.8,47,22.8,18.4,14.3,81,0.765,164,0.543,201,0.398,0.573,0.599,10.2,3.8,2.1,0.7,0.2,1.3,14,12.4,16.2,7.6,114.4,110.6
Nic Claxton,Bro,*,C,25.9,52,26.7,17.2,13,124,0.54,413,0.559,15,0.067,0.543,0.551,10.2,7.4,2,0.9,1.5,1.2,17.7,12.3,19.7,8,112.1,108.6
De'Anthony Melton,Gol,*,G,26.8,6,20.2,23.3,15.6,8,0.5,19,0.474,35,0.371,0.528,0.53,10.2,3.3,2.8,1.2,0.3,1.7,13.5,13,16.3,9,103.8,99.5
Caris LeVert,Cle,,G,30.5,38,23.8,18.1,14.6,83,0.699,150,0.5,148,0.405,0.554,0.58,10.2,2.8,3.7,0.9,0.5,1.3,13,13.9,16.7,7.9,118.5,110.9
Keon Johnson,Bro,*,G,23,58,23.8,21.8,11.5,93,0.796,282,0.454,294,0.289,0.444,0.474,10.1,3.6,2,1.1,0.4,1.3,13.7,12.1,15.7,7,97.5,107.2
Spencer Dinwiddie,Dal,*,G,31.9,59,25.1,17.4,12.6,162,0.821,232,0.491,233,0.339,0.5,0.558,10.1,2.3,3.7,0.8,0.2,1.1,12.5,13.8,16.1,7,116.7,113.7
Brandin Podziemski,Gol,*,G,22,47,25.6,17.3,11.1,69,0.754,219,0.525,196,0.316,0.501,0.525,10,4.8,3.5,1.1,0.3,1.1,14.8,13.5,18.3,8.6,113,109.7
Julian Champagnie,San,*,F,23.7,58,24,16.8,10.1,60,0.9,127,0.575,344,0.366,0.556,0.581,10,3.9,1.3,0.8,0.5,0.9,13.9,11.2,15.2,6.2,111.8,113.1
Davion Mitchell,Mia,*,G,26.5,8,32.6,12.1,17.5,7,0.857,28,0.571,28,0.5,0.661,0.677,10,1.8,4.1,1.1,0.4,1.5,11.8,14.1,15.9,5.1,126.1,113.5
Ochai Agbaji,Tor,*,G,24.9,54,27,14.1,9,42,0.667,223,0.601,203,0.399,0.6,0.606,10,3.7,1.5,0.8,0.5,0.8,13.6,11.5,15.1,5.7,117.7,114.4
Josh Okogie,Cha,*,G,26.5,7,21.2,20,14.4,19,0.789,30,0.467,23,0.391,0.519,0.57,10,3.4,1.4,2.7,0.7,1.3,13.4,11.4,14.9,6.8,111.8,106.2
Chris Boucher,Tor,*,F,32.1,50,17.2,21.5,7.3,87,0.782,177,0.633,193,0.363,0.586,0.615,10,4.5,0.7,0.5,0.5,0.6,14.5,10.7,15.2,7.3,122,111.1
Bogdan Bogdanovic,Atl,,G,32.5,24,24.9,18.9,14.2,34,0.882,78,0.5,146,0.301,0.469,0.502,10,2.8,2,0.8,0.3,1.5,12.8,12,14.8,6.1,97.4,110.6
Jose Alvarado,Nor,*,G,26.9,36,23.4,17.6,12,45,0.822,106,0.462,187,0.39,0.541,0.566,9.8,2.5,4.5,1.4,0.3,1.1,12.4,14.3,16.9,8.2,120.3,114.7
KJ Martin,Uta,*,F,24.2,5,25.8,13.4,7.8,7,0.571,22,0.818,13,0.231,0.643,0.643,9.8,3.6,1.4,0.6,0.6,0.6,13.4,11.2,14.8,5.7,125.7,117.8
Luguentz Dort,Okc,*,G,25.9,55,28.9,13.5,7.8,42,0.786,145,0.476,305,0.4,0.56,0.573,9.8,4.1,1.6,1.1,0.6,0.7,13.8,11.4,15.4,5.5,119.1,102.2
Svi Mykhailiuk,Uta,*,G-F,27.7,23,20.1,22.7,15.4,23,0.783,62,0.516,141,0.34,0.512,0.53,9.8,2.5,1.7,0.7,0.3,1.6,12.3,11.5,14,6.9,100.1,117.3
Royce O'Neale,Pho,*,F,31.7,54,25.5,15.7,10.4,26,0.731,110,0.482,320,0.419,0.591,0.597,9.8,4.9,2.1,1,0.5,0.9,14.6,11.8,16.7,7.3,115.5,111.4
T.J. McConnell,Ind,*,G,32.9,55,18.3,24.6,15.4,60,0.75,426,0.54,35,0.314,0.535,0.552,9.8,2.5,4.5,1.1,0.3,1.5,12.3,14.3,16.8,10.5,112.1,112.8
Ziaire Williams,Bro,*,F,23.5,46,24,18.4,11.1,98,0.816,174,0.489,201,0.328,0.491,0.536,9.7,4.8,1.4,1,0.4,1,14.6,11.2,16,6.7,108.3,106.5
