NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Quenton Jackson,Ind,*,G,26.5,18,14.1,16.4,12.6,21,0.714,52,0.577,24,0.375,0.572,0.598,5.7,1.5,1.7,0.5,0.3,0.6,7.2,7.4,8.9,6.9,120.6,107.7
Jeremiah Robinson-Earl,Nor,*,F,24.3,47,17.6,13.8,12.1,38,0.842,119,0.555,105,0.333,0.529,0.559,5.7,4.5,1.1,0.6,0.1,0.7,10.3,6.9,11.4,6.9,117.3,114.7
Dean Wade,Cle,*,F-C,28.3,39,22.3,10.6,6.8,25,0.52,35,0.686,157,0.344,0.547,0.549,5.7,5,1.5,0.8,0.4,0.4,10.7,7.3,12.3,6.3,123.4,104.3
Talen Horton-Tucker,Chi,*,G,24.3,42,11.3,21.3,12.7,51,0.725,107,0.505,85,0.365,0.523,0.555,5.7,1.7,1.3,0.4,0.2,0.7,7.4,7,8.7,8.2,108.8,112.1
Bismack Biyombo,San,*,C,32.5,7,16.3,14.2,19.9,7,0.286,28,0.679,0,0,0.679,0.644,5.7,4.7,0.9,0.6,1,1,10.4,6.6,11.3,7.1,111.5,104.1
Jarace Walker,Ind,*,F,21.5,54,15.6,16.6,19.1,59,0.644,119,0.546,122,0.369,0.55,0.568,5.6,3,1.4,0.9,0.4,1.1,8.6,7,10,7.3,102.1,106.1
Keaton Wallace,Atl,*,G,26,25,16.7,15.3,18.4,11,1,58,0.5,66,0.364,0.524,0.547,5.6,1.4,2.2,0.9,0.3,1.1,7,7.8,9.2,6.2,103.8,112.2
Gabe Vincent,Lal,*,G,28.7,50,20.3,13.1,10.1,14,0.643,78,0.551,189,0.323,0.504,0.509,5.6,1.2,1.4,0.7,0.2,0.6,6.8,7,8.2,4.2,103,108.3
Gary Payton II,Gol,*,G,32.2,48,13.7,15.8,12.4,33,0.697,142,0.697,62,0.258,0.603,0.616,5.6,2.8,1.4,0.7,0.3,0.6,8.4,7,9.8,8.2,121.7,102.3
Jamison Battle,Tor,*,F,23.8,39,12.6,15.6,6.8,14,0.857,40,0.575,123,0.423,0.62,0.633,5.5,1.8,0.8,0.1,0.1,0.3,7.3,6.3,8.2,6.3,126,113.4
Mouhamed Gueye,Atl,*,F,22.3,13,14.3,17.8,7.8,9,0.778,37,0.622,34,0.176,0.451,0.474,5.5,3.1,0.6,0.8,0.9,0.5,8.5,6.1,9.2,6.1,98.9,107.7
Orlando Robinson,Tor,*,C,24.6,16,15.4,17.4,17.5,23,0.826,61,0.492,14,0.214,0.46,0.517,5.5,4.1,1.4,0.4,0.3,1,9.6,6.9,11,8.2,107.8,107.4
Lindy Waters III,Gol,,F,27.6,38,17.2,14.5,7.6,11,0.727,57,0.474,148,0.331,0.49,0.498,5.5,2.6,1.1,0.6,0.3,0.4,8.1,6.6,9.2,5.8,104.9,107.9
Kevin Love,Mia,*,F-C,36.5,19,10.9,25.7,11.6,19,0.684,41,0.341,58,0.362,0.46,0.484,5.5,4.1,1,0.7,0.1,0.7,9.5,6.5,10.5,10.4,100.8,100.9
Jonathan Mogbo,Tor,*,F,23.3,47,18.1,14.3,16.5,62,0.71,172,0.494,46,0.304,0.486,0.522,5.4,4.1,1.7,0.8,0.5,0.9,9.6,7.1,11.2,7.4,109.8,107.4
Moussa Diabate,Cha,*,F,23.1,50,18.9,12,19,85,0.565,185,0.595,2,0,0.588,0.597,5.4,6.9,0.9,0.7,0.7,0.9,12.2,6.2,13.1,6.8,120.2,107
Kobe Bufkin,Atl,*,G,21.4,10,12.4,20.8,14.5,18,0.722,28,0.5,19,0.211,0.426,0.483,5.3,2.1,1.7,0.3,0.2,0.8,7.4,7,9.1,8.6,102.2,112.5
Kyle Anderson,Gol,,F-G,31.4,36,15,15.5,10.6,27,0.667,117,0.487,52,0.365,0.506,0.522,5.3,3.1,2.3,0.7,0.6,0.6,8.3,7.5,10.6,8.9,116.7,107.3
Karlo Matkovic,Nor,*,F-C,23.9,22,16.1,13.6,20.5,17,0.941,57,0.596,28,0.357,0.576,0.616,5.2,4,0.8,0.5,1,1,9.2,6,10,6.3,112.7,107.6
Jaylin Williams,Okc,*,F,22.7,30,16.3,14.5,12.9,10,1,42,0.548,99,0.323,0.504,0.523,5.1,5.5,2.4,0.4,0.6,0.7,10.6,7.5,13,10,118.7,96.6
Luke Kornet,Bos,*,C-F,29.6,52,17.2,10.5,11.7,63,0.762,164,0.665,1,0,0.661,0.69,5.1,5,1.6,0.5,1,0.4,10.1,6.7,11.7,8,152.8,104.2
Tidjane Salaun,Cha,*,F,19.6,44,19.2,14.9,13.9,57,0.719,97,0.351,139,0.266,0.379,0.421,5,4.2,1,0.5,0.3,0.9,9.2,6,10.2,5.7,92.1,111.5
Alondes Williams,Det,*,G,25.7,1,3.7,22.8,0,0,0,1,1,1,1,1.25,1.25,5,0,1,0,0,0,5,6,6,0,0,0
Neemias Queta,Bos,*,C,25.6,46,14.1,13.3,15.9,48,0.729,146,0.664,2,0,0.655,0.677,5,3.6,0.6,0.3,0.7,0.6,8.6,5.6,9.2,6.3,130.7,100.3
Kevon Looney,Gol,*,F,29.1,54,15.8,14.2,12.8,74,0.568,223,0.511,2,0,0.507,0.524,5,6.7,1.7,0.7,0.4,0.6,11.7,6.7,13.4,9.7,123.8,97.4
Jaylen Clark,Min,*,G,23.4,19,15.8,12.2,3.9,18,0.778,41,0.463,33,0.424,0.541,0.574,4.9,1.4,0.6,1.1,0.1,0.2,6.4,5.6,7,4.1,126.6,103.4
Ryan Rollins,Mil,*,G,22.7,39,12.5,18.5,16.7,24,0.833,95,0.526,69,0.348,0.524,0.55,4.9,1.6,1.3,0.7,0.3,0.8,6.6,6.2,7.9,6.9,104.5,103.9
DaQuan Jeffries,Cha,*,G-F,27.5,24,18.8,12.7,12.3,13,0.846,48,0.542,66,0.273,0.465,0.489,4.9,2.8,1.1,0.6,0.4,0.7,7.7,6,8.8,5.3,102.7,108.4
Marvin Bagley III,Was,,F,26,19,8.8,23.1,13.4,23,0.652,61,0.59,10,0.2,0.549,0.573,4.9,2.9,0.4,0.4,0.3,0.6,7.8,5.3,8.2,8.1,112.9,113.9
Monte Morris,Pho,*,G,29.7,40,13,17.4,9,40,0.85,98,0.48,73,0.301,0.468,0.514,4.9,1.4,1.7,0.4,0.1,0.4,6.3,6.5,7.9,7,111.6,118.9
Kyle Anderson,Mia,*,F-G,31.4,7,13.2,16.3,11,16,0.75,20,0.4,4,0.5,0.458,0.548,4.9,3.3,1.3,0,0.3,0.4,8.1,6.1,9.4,8.4,125.4,106.6
Kevin Knox II,Gol,*,F,25.6,5,7.4,24.7,4.9,4,0.75,9,0.667,10,0.3,0.553,0.578,4.8,1.8,0.6,0.2,0.4,0.2,6.6,5.4,7.2,9.4,124.2,106
Aaron Holiday,Hou,*,G,28.4,44,12.5,15.6,11.2,30,0.867,63,0.524,111,0.351,0.526,0.558,4.8,1.3,1.2,0.4,0.1,0.5,6,6,7.2,6.3,117.2,106.5
Jordan Miller,Lac,*,G,25.1,30,12.4,18.8,14.8,33,0.788,90,0.511,36,0.222,0.46,0.505,4.7,1.7,1.1,0.5,0.2,0.7,6.5,5.8,7.6,6.7,104,109.7
Taylor Hendricks,Uta,*,F,21.3,3,24.8,12.3,9.8,4,0.75,6,0.167,12,0.25,0.306,0.354,4.7,5,0.7,1.7,1.3,0.7,9.7,5.3,10.3,4.1,87.6,108.9
Sandro Mamukelashvili,San,*,F-C,25.8,37,8.9,19.6,10.1,29,0.724,49,0.714,75,0.373,0.621,0.64,4.7,2.4,0.5,0.4,0.3,0.4,7.1,5.2,7.6,8,122.2,106.6
Charles Bassey,San,*,C-F,24.3,34,10.7,18,16.5,33,0.636,116,0.586,0,0,0.586,0.601,4.6,4.4,0.5,0.4,0.9,0.7,9.1,5.1,9.6,8.1,117,100.5
Mo Bamba,Lac,*,C,26.8,28,12.6,16.3,15.5,25,0.68,53,0.623,50,0.3,0.539,0.561,4.6,4.3,0.6,0.3,1,0.7,8.9,5.1,9.4,7.2,108.8,95.9
Zach Collins,San,,F-C,27.3,36,11.8,17.1,14.8,35,0.886,86,0.547,46,0.304,0.515,0.566,4.6,2.8,1.4,0.4,0.4,0.6,7.4,6.1,8.9,8.9,118.5,100.7
Trentyn Flowers,Lac,*,F,20,2,7.9,28.5,9.6,1,1,7,0.571,2,0,0.444,0.477,4.5,2,0,0,0,0.5,6.5,4.5,6.5,0,91.4,94.3
David Roddy,Atl,,F,23.9,27,12.8,14.5,17.6,22,0.818,50,0.56,43,0.372,0.559,0.594,4.5,2.6,1.1,0.4,0.3,0.7,7.1,5.6,8.2,7.3,110.5,113
Trevelin Queen,Orl,*,G,28,26,14.3,17.6,13.9,15,0.867,59,0.475,65,0.246,0.419,0.448,4.5,1.6,1.3,1,0.4,0.8,6.1,5.8,7.4,5.9,95.5,103.4
Markelle Fultz,Sac,*,G,26.8,4,9.1,24,29.4,1,1,12,0.583,2,0.5,0.607,0.623,4.5,1,0.8,0.8,0,1.5,5.5,5.3,6.3,6.7,89.4,108
Julian Phillips,Chi,*,F,21.3,58,13.2,13.6,9.8,57,0.737,92,0.565,110,0.336,0.532,0.566,4.4,2,0.4,0.4,0.2,0.4,6.4,4.8,6.8,4.6,114.6,111.8
Jett Howard,Orl,*,G,21.5,49,11.5,18.5,10.8,20,0.75,56,0.518,151,0.318,0.488,0.503,4.4,1.2,0.8,0.2,0.2,0.5,5.7,5.2,6.5,5.6,101.6,107
Tre Jones,San,,G,25.1,28,16.1,12.1,18.4,33,0.758,67,0.552,26,0.308,0.527,0.572,4.4,2.1,3.7,0.6,0.2,0.8,6.5,8.1,10.2,8.1,127.4,112
Reggie Jackson,Phi,*,G,34.9,31,12.4,17.6,11.3,9,0.778,59,0.458,74,0.338,0.485,0.496,4.4,1.4,1.5,0.5,0.1,0.5,5.7,5.8,7.2,6.8,103.8,111.5
Patty Mills,Uta,,G,36.6,17,15.3,15,16.4,5,1,19,0.474,57,0.298,0.454,0.473,4.4,1.2,1.2,0.7,0.2,0.9,5.6,5.6,6.8,4.8,93.7,119.1
Daniel Theis,Nor,*,F-C,32.9,38,16.4,11.5,16.2,37,0.838,92,0.565,37,0.243,0.508,0.558,4.3,4.3,1.6,0.5,0.5,0.7,8.6,5.8,10.2,7.5,118.2,109.1
Pat Connaughton,Mil,*,G,32.2,31,14.8,13.5,14,17,0.765,54,0.556,62,0.323,0.517,0.539,4.3,2.6,1.6,0.2,0.3,0.6,6.9,5.9,8.6,7.1,112.2,109.3
Cody Williams,Uta,*,F,20.3,34,20.5,12.2,15.3,29,0.724,81,0.37,79,0.266,0.384,0.417,4.2,2.3,1.3,0.5,0.3,0.9,6.5,5.5,7.8,4.5,90.6,115
Antonio Reeves,Nor,*,G,22.3,28,10.2,18,8.4,9,0.889,50,0.52,58,0.328,0.505,0.523,4.2,1.1,0.7,0.4,0.1,0.4,5.3,4.9,6,5.8,107.5,119.8
Kris Murray,Por,*,F,24.5,50,13.8,13.8,11.5,40,0.425,109,0.596,76,0.276,0.522,0.518,4.2,2.2,0.9,0.4,0.2,0.5,6.4,5.1,7.2,5.9,109.7,114.6
Jabari Walker,Por,*,F,22.6,43,11.3,15.9,13.4,45,0.667,97,0.598,45,0.267,0.535,0.562,4.2,3.3,0.7,0.6,0.1,0.5,7.5,4.9,8.2,7.5,114.3,102
Paul Reed,Det,*,F,25.7,35,9.1,18.5,14.4,34,0.794,86,0.593,21,0.286,0.561,0.603,4.2,2.5,0.9,0.9,0.5,0.5,6.7,5.1,7.7,9.3,122.3,92.8
Dalen Terry,Chi,*,F,22.6,53,12.5,14.5,17.5,56,0.679,108,0.537,61,0.344,0.53,0.56,4.1,1.5,1.2,0.5,0.2,0.7,5.6,5.3,6.8,6.2,109.8,109.9
Malaki Branham,San,*,F,21.8,34,8.8,21.9,19.3,20,0.85,62,0.468,55,0.382,0.517,0.548,4.1,1.1,0.8,0.2,0.1,0.8,5.1,4.8,5.9,7,95.2,114.5
Micah Potter,Uta,*,C,26.9,26,17.3,9.8,18.9,12,0.917,19,0.632,62,0.387,0.593,0.62,4.1,4,0.7,0.2,0.3,0.7,8.1,4.8,8.8,5.2,117,114.6
Thomas Bryant,Mia,,C-F,27.6,10,11.5,13.4,6.6,11,1,11,0.545,17,0.353,0.536,0.624,4.1,3.2,0.4,0.1,0.9,0.2,7.3,4.5,7.7,6,131.3,106.7
Mason Plumlee,Pho,*,F-C,35,59,17.7,10.3,23.5,90,0.622,154,0.597,2,0,0.59,0.613,4.1,6.3,1.9,0.5,0.7,0.8,10.3,6,12.2,8.3,128.2,104.1
Javonte Green,Cle,*,G,31.6,1,6.3,13.5,0,0,0,2,1,0,0,1,1,4,3,0,0,0,0,7,4,7,0,200,107
Dariq Whitehead,Bro,*,G-F,20.6,9,6.3,24.9,19.3,3,0.333,4,0.25,21,0.524,0.7,0.684,4,0.7,0.1,0.3,0.1,0.7,4.7,4.1,4.8,4.2,99.5,115.7
Oscar Tshiebwe,Uta,*,F-C,25.3,4,13.6,8.8,13.6,10,0.8,6,0.667,0,0,0.667,0.769,4,5.8,0.3,1.3,0,0.3,9.8,4.3,10,5.6,159.5,90.1
MarJon Beauchamp,Lac,*,F,24.4,3,5.7,24.5,12.2,4,0.5,4,0.5,3,0.667,0.714,0.685,4,1,0.7,0,0,0.3,5,4.7,5.7,9.9,132.6,106.5
Gui Santos,Gol,*,F,22.7,35,12.9,13.2,19,25,0.72,41,0.61,65,0.369,0.575,0.598,4,3,1.3,0.5,0.1,0.7,7,5.3,8.3,7.7,119.5,103.3
Jock Landale,Hou,*,C,29.4,30,10.5,16.7,11.5,34,0.676,85,0.471,15,0.4,0.49,0.526,4,3.2,0.8,0.2,0.3,0.4,7.2,4.9,8,8.3,116.9,104
Josh Richardson,Mia,*,G,31.5,8,18.7,14.1,17.2,4,1,16,0.313,22,0.273,0.368,0.402,4,1.5,1.5,1,0.1,1,5.5,5.5,7,4.4,87.3,105.9
Kyle Lowry,Phi,*,G,38.9,33,18.9,10.3,15.2,33,0.818,28,0.393,83,0.337,0.477,0.53,4,2,2.8,0.9,0.3,0.6,6,6.8,8.8,6,119.6,110
Luka Garza,Min,*,C,26.2,28,6.4,25.6,9.5,29,0.655,55,0.618,30,0.233,0.524,0.552,3.9,1.7,0.3,0.2,0.1,0.3,5.6,4.1,5.9,7.9,115.9,100.4
Devin Carter,Sac,*,G,23,18,9.3,21,10.8,20,0.75,33,0.394,33,0.273,0.402,0.455,3.8,2.3,1.2,0.3,0.2,0.4,6.1,4.9,7.2,9.4,101.9,107.8
Brandon Williams,Dal,*,G,25.3,20,8.6,19.2,18.7,19,0.789,33,0.455,23,0.435,0.536,0.583,3.8,0.8,1.2,0.3,0.1,0.7,4.6,4.9,5.7,7.2,110.4,112.9
Pelle Larsson,Mia,*,G,24,37,12.3,13,10.9,33,0.667,53,0.566,53,0.34,0.538,0.564,3.7,1.4,0.8,0.4,0.1,0.4,5.1,4.5,5.9,5.2,115.1,103.2
Olivier-Maxence Prosper,Dal,*,F,22.7,50,10.9,16.3,7.9,66,0.636,117,0.479,47,0.213,0.433,0.477,3.7,2.4,0.7,0.5,0.1,0.3,6.1,4.4,6.8,6.7,110.2,112.2
Andre Jackson Jr.,Mil,*,G,23.3,54,16.5,11.5,22.5,18,0.556,105,0.524,70,0.386,0.546,0.549,3.7,3,1.4,0.6,0.2,0.9,6.8,5.1,8.1,6,107.4,103.7
Ousmane Dieng,Okc,*,F,21.8,30,11.1,16.2,12.5,16,0.688,45,0.556,60,0.283,0.481,0.5,3.7,2.3,0.9,0.5,0.2,0.5,6.1,4.7,7,7.1,104.9,102.1
Jae'Sean Tate,Hou,*,F,29.3,39,11.8,13.9,13.1,41,0.659,86,0.512,33,0.303,0.496,0.529,3.7,2.2,0.9,0.6,0.1,0.5,5.9,4.6,6.8,6.6,114.5,98
Jevon Carter,Chi,*,G,29.5,27,7.2,21.3,9.4,10,0.8,24,0.5,62,0.371,0.541,0.559,3.7,0.9,1,0.3,0,0.3,4.7,4.7,5.6,8.3,111.5,117.1
Damion Lee,Pho,*,G-F,32.4,15,6.6,28.6,10.5,17,0.941,26,0.462,25,0.2,0.382,0.47,3.7,0.9,0.5,0.3,0,0.4,4.5,4.2,5.1,7.2,96.2,116.7
Markieff Morris,Lal,*,F,35.5,3,6.7,25.8,8.7,2,1,3,0,7,0.429,0.45,0.506,3.7,0.3,1,0,0,0.3,4,4.7,5,6.2,107.1,105.1
Isaac Jones,Sac,*,F,24.6,25,8.7,15.9,17.1,26,0.538,54,0.685,4,0.25,0.664,0.655,3.6,1.5,0.3,0.1,0.3,0.5,5.2,4,5.5,5.4,117.6,107.5
Cam Spencer,Mem,*,G,24.9,11,11.4,12.7,13.7,9,1,15,0.533,16,0.313,0.5,0.572,3.6,1.5,1.5,0.3,0.1,0.5,5.2,5.1,6.6,7,124.2,108.9
Nate Williams,Hou,*,G,26,8,5.5,25.4,18.5,0,0,12,0.833,10,0.3,0.659,0.659,3.6,0.6,0.5,0.4,0.4,0.6,4.3,4.1,4.8,7.5,109.1,103.4
Jamal Cain,Nor,*,F,26,23,12.2,13.3,12.5,20,0.65,29,0.552,41,0.293,0.486,0.514,3.5,2.2,0.5,0.5,0.3,0.4,5.7,4,6.2,5.1,106.9,113.6
Collin Gillespie,Pho,*,G,25.7,11,6.1,20.3,10.6,7,0.857,17,0.588,8,0.5,0.64,0.677,3.5,0.9,1.1,0.3,0.2,0.3,4.4,4.5,5.5,9.9,138.1,111.1
Jaden Springer,Uta,*,G,22.4,4,8.7,15.6,24.1,2,1,5,0.6,4,0.5,0.667,0.709,3.5,1,1.3,0.8,0,0.8,4.5,4.8,5.8,7.6,124,112.6
Dario Saric,Den,*,F-C,30.9,15,13.5,15.5,19.9,10,0.7,30,0.4,26,0.269,0.402,0.43,3.5,3.3,1.5,0.5,0.1,0.9,6.7,4.9,8.2,7.7,94.8,108
Steven Adams,Hou,*,C,31.6,42,12.1,14.3,24.1,65,0.446,112,0.518,1,0,0.513,0.512,3.5,5,1.1,0.3,0.5,0.9,8.4,4.5,9.5,8.9,111,104.4
Reed Sheppard,Hou,*,G,20.7,42,11.4,17,12.5,12,0.917,66,0.364,102,0.275,0.393,0.413,3.4,1.4,1,0.6,0.3,0.6,4.8,4.5,5.8,5.9,92.9,106
Jeff Dowtin Jr.,Phi,*,G,27.8,27,11,15.3,4.2,17,0.706,66,0.439,26,0.269,0.429,0.457,3.4,1.1,1.6,0.3,0.1,0.1,4.5,4.9,6.1,6.6,110.3,116.4
Jarred Vanderbilt,Lal,*,F,25.9,14,15,11.5,20.8,16,0.438,25,0.52,13,0.385,0.539,0.533,3.4,5,1.1,1,0.1,0.7,8.4,4.6,9.6,7.1,114.3,98.9
Landry Shamet,Nyk,*,G,28,27,11.2,13.3,11.1,7,0.429,33,0.636,47,0.34,0.563,0.56,3.4,0.9,0.6,0.4,0.1,0.4,4.3,4.1,4.9,4.4,108.7,113.7
Bruno Fernando,Tor,*,F-C,26.5,17,8.6,19.2,22.1,8,0.75,49,0.531,0,0,0.531,0.552,3.4,3,1.1,0.2,0.5,0.8,6.4,4.5,7.5,10.4,107.2,98.1
DeAndre Jordan,Den,*,C,36.6,45,11.5,12.5,23.9,35,0.4,105,0.657,0,0,0.657,0.631,3.4,4.7,0.8,0.3,0.4,0.7,8.1,4.2,8.9,8.1,117.7,103
Oso Ighodaro,Pho,*,F,22.6,43,14.1,10.7,17.5,36,0.528,106,0.585,2,0,0.574,0.577,3.3,3.1,1,0.4,0.3,0.5,6.4,4.3,7.4,6.2,116,109.6
Nae'Qwan Tomlin,Cle,*,F,24.2,3,4.8,30.3,10.8,3,0.667,6,0.667,2,0,0.5,0.536,3.3,2,0,0,0,0.3,5.3,3.3,5.3,0,101.5,95.9
Cam Reddish,Lal,*,F-G,25.5,31,18.1,8.6,12.2,26,0.615,41,0.585,45,0.289,0.506,0.529,3.3,2,0.7,1,0.3,0.4,5.3,4.1,6.1,3.7,109.4,108.7
Doug McDermott,Sac,*,F,33.2,32,8.3,14.9,6.6,5,0.6,13,0.385,72,0.431,0.606,0.608,3.3,0.5,0.1,0.1,0,0.2,3.8,3.4,4,2.6,114,111
Nicolas Batum,Lac,*,G-F,36.2,57,17,8.5,11.9,16,0.813,27,0.407,135,0.378,0.54,0.556,3.3,2.8,1.2,0.6,0.4,0.4,6.1,4.5,7.2,5.2,119.2,105.7
Jaylon Tyson,Cle,*,G-F,22.2,38,9.5,14.9,16.1,18,0.778,61,0.525,38,0.368,0.535,0.561,3.2,2.1,0.9,0.2,0.1,0.5,5.2,4.1,6.2,7.7,117.9,103
Jackson Rowe,Gol,*,F,28.2,5,8.5,17.4,6.2,4,0.5,6,0.667,9,0.222,0.467,0.477,3.2,1.6,0.6,0.6,0,0.2,4.8,3.8,5.4,6.8,100.6,102.8
Elijah Harkless,Uta,*,G,25.1,10,13.8,12.4,7.8,6,0.5,10,0.4,25,0.28,0.414,0.425,3.2,2.1,0.8,1,0.1,0.3,5.3,4,6.1,5.1,102.5,107.6
Craig Porter,Cle,*,G,25,37,9.2,14,20.5,13,0.769,55,0.6,30,0.467,0.635,0.65,3.2,1.2,1.4,0.4,0.3,0.6,4.4,4.6,5.7,7.6,122.4,111.3
Wendell Moore Jr.,Det,,G,23.5,20,10.9,12.6,15.1,14,0.929,36,0.528,14,0.286,0.5,0.561,3.2,2.2,1.2,0.5,0.2,0.5,5.4,4.3,6.5,7.5,118.8,108.5
Moses Brown,Ind,,C,25.4,9,5.1,26.8,22.8,5,0.6,20,0.65,0,0,0.65,0.653,3.2,1.4,0,0.2,0.1,0.7,4.7,3.2,4.7,0,98.6,102.6
Jalen Pickett,Den,*,G,25.4,28,10.6,13.3,12.8,2,1,39,0.513,42,0.381,0.543,0.55,3.2,1.1,1.8,0.3,0.1,0.4,4.3,5,6.1,7,118.2,115.4
Shake Milton,Lal,*,G,28.4,17,10.9,14.8,21.7,17,0.882,25,0.56,18,0.222,0.465,0.545,3.2,1.9,1.4,0.2,0.1,0.7,5.1,4.6,6.5,7.5,109.5,110.1
JT Thor,Cle,*,F,22.5,9,4.7,24.5,28.1,8,0.875,9,0.667,6,0.5,0.7,0.756,3.1,0.7,0.1,0.2,0.3,0.7,3.8,3.2,3.9,5.1,113.8,101.2
Gary Harris,Orl,*,G,30.5,31,15.5,9.9,11.4,10,0.6,22,0.5,71,0.324,0.489,0.498,3.1,1.2,0.5,0.6,0.3,0.4,4.4,3.6,4.9,3.2,101.8,109.9
Trey Jemison,Lal,*,C,25.3,10,9.9,13.1,14.7,6,0.333,23,0.609,0,0,0.609,0.585,3,2.9,0.2,0.1,0.6,0.4,5.9,3.2,6.1,4.9,111.4,93.6
Adem Bona,Phi,*,F,21.9,40,11.1,11,29.9,48,0.646,63,0.698,0,0,0.698,0.707,3,2.9,0.3,0.2,0.8,0.7,5.9,3.3,6.1,5,120.1,100.2
Taze Moore,Por,*,G,26.7,2,10,27.1,16.4,2,0.5,6,0.167,4,0.25,0.25,0.276,3,4,0.5,1,0,1,7,3.5,7.5,7.3,72,114.2
Blake Wesley,San,*,G,22,35,8.7,17.9,24.1,27,0.667,64,0.563,24,0.208,0.494,0.526,3,0.7,1.9,0.4,0.1,0.8,3.7,4.9,5.6,7.3,104.1,114.8
Kylor Kelley,Dal,*,C,27.5,8,8.3,10.7,7,6,0.667,13,0.769,0,0,0.769,0.767,3,2.6,0.3,0,0.3,0.1,5.6,3.3,5.9,6.4,157.9,105.1
Mason Jones,Sac,*,G,26.6,7,5,22.3,5.8,3,0.667,10,0.8,6,0.167,0.594,0.606,3,1.1,1.4,0,0,0.1,4.1,4.4,5.6,13.3,138.2,110.4
Zeke Nnaji,Den,*,F-C,24.1,39,9.3,12.2,6.2,21,0.571,59,0.661,31,0.29,0.583,0.589,3,1.5,0.3,0.3,0.5,0.2,4.5,3.3,4.8,4.8,122.7,107.9
Maxi Kleber,Dal,*,F,33.1,34,18.7,8.6,19.3,21,0.762,47,0.511,49,0.265,0.453,0.489,3,2.8,1.3,0.3,0.5,0.7,5.8,4.3,7.1,4.7,104.3,109
Taj Gibson,Cha,*,F,39.7,25,11.6,13.3,22.5,16,0.688,63,0.476,2,0.5,0.485,0.514,3,3.8,0.6,0.3,0.5,0.8,6.7,3.5,7.3,6.5,103,102.6
AJ Johnson,Mil,,G,20.2,7,6.3,23.7,17.2,2,0.5,14,0.357,5,0.6,0.5,0.503,2.9,1,1,0.1,0,0.6,3.9,3.9,4.9,9.1,94.9,116.1
Tyler Smith,Mil,*,F,20.3,15,5,24.3,14.9,4,0.5,14,0.643,20,0.4,0.618,0.615,2.9,1.3,0.3,0.1,0.2,0.4,4.2,3.2,4.5,8.3,106.5,102.8
Dominick Barlow,Atl,*,F,21.8,18,7.8,15,4.1,8,0.5,33,0.515,13,0.385,0.533,0.535,2.9,1.6,0.2,0.2,0.4,0.1,4.5,3.2,4.7,5,112.3,110.5
Caleb Houstan,Orl,*,G,22.1,39,11.6,11.3,4.4,11,0.909,15,0.4,93,0.323,0.472,0.496,2.9,1,0.4,0.2,0.1,0.1,3.8,3.3,4.3,3.6,109.5,108.3
Jae Crowder,Sac,*,F,34.7,7,13.1,11,18.7,6,0.833,5,0.6,12,0.25,0.441,0.509,2.9,2.4,0.6,0.4,0,0.6,5.3,3.4,5.9,4.9,105.8,107.2
Branden Carlson,Okc,*,C,25.7,19,5.6,17,7.1,2,1,8,0.625,31,0.452,0.667,0.677,2.8,1.4,0.3,0.1,0.3,0.2,4.2,3.2,4.5,7.5,131.5,98.6
TyTy Washington Jr.,Pho,*,G,23.3,10,9.3,19.3,7.6,4,0.75,18,0.444,18,0.167,0.347,0.371,2.8,1.2,1.2,0.3,0,0.3,4,4,5.2,6.8,91.5,120
Pat Spencer,Gol,*,G,28.7,27,7.2,21.8,13.6,15,0.733,65,0.446,17,0.118,0.39,0.423,2.8,1.5,1.4,0.4,0.1,0.5,4.3,4.1,5.6,10,99.7,106.5
Drew Eubanks,Lac,*,F-C,28.1,6,8.8,12.3,13.3,0,0,12,0.667,1,0,0.615,0.615,2.7,2.5,0.2,0,0.3,0.3,5.2,2.8,5.3,5,122.3,112.4
Drew Peterson,Bos,*,F,25.3,16,8.3,11.5,18.5,7,0.857,6,0.667,20,0.45,0.673,0.705,2.6,1.7,0.7,0.2,0.1,0.4,4.3,3.3,4.9,7,130.5,104.4
E.J. Liddell,Chi,*,F,24.2,6,5.1,14.9,19.2,2,1,2,1,6,0.5,0.813,0.845,2.5,0.8,0.5,0.2,0,0.3,3.3,3,3.8,7.8,138.5,92.8
John Konchar,Mem,*,G,28.9,31,12.8,8.4,14.7,6,0.833,20,0.65,49,0.306,0.514,0.53,2.5,3.5,1,0.5,0.4,0.4,5.9,3.5,6.9,6.4,118.5,108
Lonnie Walker IV,Phi,*,G-F,26.2,4,12.5,20.2,13,0,0,7,0.286,13,0.154,0.25,0.25,2.5,2.5,0.8,0,0.3,0.8,5,3.3,5.8,5.5,53.9,118.1
Torrey Craig,Bos,*,F,34.2,4,8.8,12.4,10,0,0,2,1,7,0.286,0.556,0.556,2.5,1.3,0.5,0,1,0.3,3.8,3,4.3,5.3,120.6,112.6
Delon Wright,Mil,,G,32.8,26,15.6,11.1,14.5,16,0.563,33,0.303,49,0.245,0.341,0.365,2.5,1.8,1.8,0.9,0.3,0.5,4.3,4.3,6.1,5.1,94.3,111.9
Trey Jemison,Nor,,C,25.3,16,10.4,13,23.7,21,0.381,32,0.469,0,0,0.469,0.461,2.4,2.8,0.6,0.4,0.4,0.6,5.1,3,5.8,6.1,99.4,104.9
